Gene	Exon_coord	Upstream_exon_coord	Downstream_exon_coord	hHistology
BLOC1S6	45592135-45592276	45587589-45587796	45603099-45603187	Mixed neuronal-glial tumor
DGKB	14736041-14736194	14718541-14718685	14753927-14753948	Mixed neuronal-glial tumor
KDM6B	7839906-7840024	7834216-7834350	7844900-7845020	Mixed neuronal-glial tumor
NFASC	204920632-204920740	204870861-204871070	204944225-204944406	Mixed neuronal-glial tumor
ITGA9-AS1	37834679-37834767	37821013-37821100	37861700-37861720	Mixed neuronal-glial tumor
AFG3L1P	89977678-89977802	89972592-89972765	89978809-89978878	Mixed neuronal-glial tumor
BAZ2A	56615014-56615128	56613952-56614138	56615218-56615607	Mixed neuronal-glial tumor
TACC1	38787557-38787743	38742350-38742451	38788703-38788819	Neurofibroma plexiform
IRF9	24162144-24162280	24161276-24161338	24162965-24163149	Neurofibroma plexiform
MBNL1	152446704-152446757	152445281-152445539	152447724-152447773	Neurofibroma plexiform
PIGX	196716858-196716921	196712376-196712644	196722414-196722556	Neurofibroma plexiform
FCHO2	73078180-73078312	73077337-73077493	73081782-73081982	Neurofibroma plexiform
HR	22128559-22129210	22127036-22127829	22130427-22131010	Neurofibroma plexiform
ANK1	41672516-41672912	41672353-41672426	41684543-41684690	Neurofibroma plexiform
NPIPA1	14925101-14925189	14924504-14924638	14925732-14925876	Neurofibroma plexiform
NEK4	52760795-52760936	52751931-52752336	52763469-52763624	Neurofibroma plexiform
UNKL	1401568-1401701	1399139-1399509	1403167-1403190	Neurofibroma plexiform
ZNF142	218658701-218658801	218656149-218656463	218658979-218659130	Neurofibroma plexiform
TM7SF3	26990450-26990627	26982772-26982859	26995236-26995268	Neurofibroma plexiform
SERPINE2	224001642-224001922	223998114-223998342	224039098-224039286	Neurofibroma plexiform
TBC1D14	7006632-7006726	7004843-7004924	7010652-7010777	Neurofibroma plexiform
SEPTIN11	77005601-77005796	76996424-76996539	77011734-77011744	Neurofibroma plexiform
XIST	73837440-73837503	73833237-73833374	73841381-73841473	Neurofibroma plexiform
DHTKD1	12100178-12100262	12097683-12097996	12101041-12101181	Neurofibroma plexiform
PAK3	111123077-111123278	111097540-111097684	111142095-111142196	Neurofibroma plexiform
CLIP1	122351111-122351143	122340752-122341697	122352725-122352786	Non-neoplastic tumor
PPFIBP1	27658816-27658848	27656615-27656730	27660883-27660945	Non-neoplastic tumor
LINC00960	75675968-75676128	75675763-75675880	75678832-75679314	Non-neoplastic tumor
KIFC3	57790930-57791066	57785463-57785666	57794998-57795141	Non-neoplastic tumor
SLTM	58894433-58894582	58894089-58894193	58897114-58897120	Non-neoplastic tumor
PTPRZ1	122012078-122013889	122010333-122011309	122019123-122019268	Non-neoplastic tumor
NPC2	74484415-74484587	74480186-74480779	74486328-74486436	Non-neoplastic tumor
VIM	17235846-17236379	17235168-17235389	17237229-17237593	Non-neoplastic tumor
IL6	22727513-22727634	22727223-22727281	22728692-22728806	Non-neoplastic tumor
PDE4D	59185189-59185262	59180592-59180644	59193499-59193536	Non-neoplastic tumor
TRO	54922218-54922291	54920815-54920878	54922577-54922738	Non-neoplastic tumor
FAXDC2	154834625-154834728	154830326-154830922	154834842-154834934	Non-neoplastic tumor
KIAA1755	38225665-38225781	38223537-38223636	38228146-38228240	Non-neoplastic tumor
NPL	182803698-182803771	182794349-182794439	182812155-182812190	Non-neoplastic tumor
RAD1	34915416-34915626	34914694-34914961	34918051-34918136	Non-neoplastic tumor
CLIP1	122347375-122347479	122340752-122341697	122352725-122352786	Non-neoplastic tumor
GORASP1	39103473-39103553	39100787-39101102	39107478-39107569	Non-neoplastic tumor
EXOC7	76091143-76091235	76090328-76090397	76094413-76094581	Non-neoplastic tumor
ANOS1	8535591-8535811	8534318-8534460	8536770-8536942	Non-neoplastic tumor
LAS1L	65533610-65533735	65532560-65532630	65534479-65534572	Non-neoplastic tumor
FAM95C	38541456-38541562	38540568-38540849	38542311-38542589	Non-neoplastic tumor
HOPX	56657775-56657899	56655856-56656012	56676498-56676566	Non-neoplastic tumor
FAM107B	14553322-14553387	14530331-14530515	14572228-14572339	Non-neoplastic tumor
ECM1	150511457-150511831	150510875-150511198	150512351-150512572	Non-neoplastic tumor
TIMM50	39481883-39482033	39480411-39480961	39482884-39482916	Non-neoplastic tumor
SLC22A17	23347460-23347731	23347100-23347212	23348160-23348221	Non-neoplastic tumor
REXO2	114440656-114440739	114439434-114439675	114443855-114443933	Non-neoplastic tumor
PRTG	55740382-55740684	55683786-55683931	55742837-55743090	Non-neoplastic tumor
FCSK	70467886-70467966	70466881-70467471	70468848-70468968	Non-neoplastic tumor
PIGT	45418772-45418979	45416516-45416654	45419294-45419395	Non-neoplastic tumor
PIGT	45418852-45418979	45416516-45416654	45419294-45419395	Non-neoplastic tumor
APH1A	150267957-150267991	150267715-150267789	150268697-150269015	Non-neoplastic tumor
CFAP46	132929705-132929804	132926567-132926666	132934751-132934862	Non-neoplastic tumor
LSR	35261925-35261981	35258944-35259064	35266358-35266427	Non-neoplastic tumor
AAK1	69495985-69496080	69480859-69480961	69505568-69505673	Non-neoplastic tumor
TMBIM1	218285763-218285938	218281939-218282181	218287206-218287291	Non-neoplastic tumor
LINC00265	39779271-39779385	39771004-39771091	39780502-39780559	Non-neoplastic tumor
COL1A2	94408183-94408236	94407846-94407891	94408335-94408380	Non-neoplastic tumor
OSBPL1A	24341547-24341658	24334244-24334330	24366891-24366966	Non-neoplastic tumor
CDK4	57751500-57751736	57750655-57750765	57752174-57752295	Non-neoplastic tumor
RABEP1	5380364-5380462	5378176-5378232	5381388-5381505	Non-neoplastic tumor
BIVM	102805307-102805390	102799118-102799521	102807145-102807400	Non-neoplastic tumor
NOTCH4	32216945-32217067	32215225-32215385	32217152-32217266	Non-neoplastic tumor
ZMYND8	47212642-47212725	47209213-47210897	47220257-47220324	Non-neoplastic tumor
HYDIN2	146853286-146853492	146852358-146852456	146854638-146854851	Non-neoplastic tumor
NUP43	149738643-149738778	149736470-149736622	149742389-149742570	Non-neoplastic tumor
PTMA	231711890-231711983	231711347-231711419	231712442-231712516	Non-neoplastic tumor
HYDIN	70952421-70952635	70943811-70943949	70955374-70955548	Non-neoplastic tumor
CDK4	57750923-57751090	57750655-57750765	57752174-57752276	Non-neoplastic tumor
ZNF483	111530875-111530963	111525158-111525262	111533738-111533865	Non-neoplastic tumor
TARBP1	234400853-234400948	234398381-234398553	234401180-234401262	Non-neoplastic tumor
CEACAM19	44673712-44673845	44672477-44672964	44676270-44676421	Non-neoplastic tumor
DMD	32345943-32346080	32343133-32343286	32348405-32348510	Non-neoplastic tumor
DMKN	35507458-35507511	35506125-35506185	35509910-35509961	Non-neoplastic tumor
TMEM175	948116-948154	932479-932540	950420-950518	Non-neoplastic tumor
CFAP91	119706809-119706885	119703021-119703222	119707403-119707561	Non-neoplastic tumor
BZW2	16685924-16686040	16682779-16682845	16689796-16689906	Non-neoplastic tumor
KDM4B	5119118-5119219	5110621-5110818	5119652-5119682	Non-neoplastic tumor
CRTC1	18771442-18771546	18768484-18768793	18774899-18774986	Non-neoplastic tumor
MEPE	87839927-87840032	87838631-87838685	87844976-87845266	Non-neoplastic tumor
TLE2	3017840-3017859	3015652-3015760	3019282-3019463	Non-neoplastic tumor
SP140L	230389919-230390023	230388558-230388633	230392086-230392229	Non-neoplastic tumor
RAB11FIP1	37871278-37873179	37870419-37870528	37874514-37875322	Non-neoplastic tumor
SETD6	58518181-58518231	58516807-58516928	58518400-58518467	Non-neoplastic tumor
KMT5C	55343978-55343997	55343679-55343843	55346212-55346349	Non-neoplastic tumor
NEK3	52135729-52135863	52133688-52133815	52136115-52136232	Non-neoplastic tumor
PHC3	170145423-170145521	170136365-170136665	170149085-170149244	Non-neoplastic tumor
CCDC77	405511-405564	389349-389486	411746-411978	Non-neoplastic tumor
G3BP2	75694798-75694929	75661930-75662049	75724055-75724176	Non-neoplastic tumor
EPHA5	65376998-65377063	65367356-65367424	65404373-65404476	Non-neoplastic tumor
PLEKHA1	122428276-122428316	122426941-122427031	122429623-122432345	Non-neoplastic tumor
ANO4	100974783-100974889	100971305-100971406	100987538-100987670	Non-neoplastic tumor
IFNLR1	24159052-24159182	24154167-24157891	24159473-24159633	Non-neoplastic tumor
TCTN1	110644967-110645143	110640382-110640517	110647195-110647336	Non-neoplastic tumor
ARHGAP44	12974089-12974310	12958716-12958897	12980057-12980233	Non-neoplastic tumor
LMO7	75805479-75805760	75804173-75804541	75807479-75808199	Non-neoplastic tumor
LSR	35262546-35262692	35250314-35250659	35266358-35266532	Non-neoplastic tumor
C10orf95-AS1	102451399-102452187	102450186-102450330	102455336-102456265	Non-neoplastic tumor
C10orf95-AS1	102452090-102452187	102450186-102450330	102455336-102456267	Non-neoplastic tumor
PRUNE2	76624452-76624490	76619339-76619387	76629191-76629290	Non-neoplastic tumor
ENSG00000279249	49287720-49287989	49287366-49287475	49289537-49289655	Non-neoplastic tumor
PEX5	7190022-7190216	7189162-7189531	7190361-7190524	Non-neoplastic tumor
NNT	43619087-43619119	43615847-43616065	43624031-43624120	Non-neoplastic tumor
SLCO3A1	92162756-92162998	92150949-92151014	92171779-92172435	Non-neoplastic tumor
TNIP1	151064960-151065131	151063612-151063747	151087084-151087158	Non-neoplastic tumor
HDAC10	50249103-50249198	50248830-50248890	50249327-50249454	Non-neoplastic tumor
RASIP1	48727393-48727430	48724716-48724960	48728936-48729590	Non-neoplastic tumor
TANC2	63354783-63355390	63351249-63351416	63379717-63379826	Non-neoplastic tumor
OGG1	9754704-9754885	9751769-9751949	9765808-9766668	Non-neoplastic tumor
MAGI2-AS3	79454866-79455007	79453734-79453789	79458846-79458999	Non-neoplastic tumor
MAGI2-AS3	79454886-79455007	79453752-79453789	79458846-79458999	Non-neoplastic tumor
CD44	35198121-35198246	35189834-35190065	35208104-35208206	Non-neoplastic tumor
ENSG00000249141	166946682-166946739	166943018-166943089	166956096-166956124	Other CNS embryonal tumor
METTL26	634889-635063	634718-634797	636093-636239	Other CNS embryonal tumor
DTNBP1	15652087-15652140	15637743-15637804	15662813-15662975	Other CNS embryonal tumor
PLEKHH1	67555825-67555887	67541833-67541993	67557268-67557418	Other CNS embryonal tumor
TTYH1	54429882-54429957	54429306-54429379	54430549-54430605	Other CNS embryonal tumor
EMID1	29231593-29231682	29231019-29231140	29232255-29232345	Other CNS embryonal tumor
FANCM	45140632-45140709	45137068-45137241	45148836-45148995	Other CNS embryonal tumor
SNX15	65032168-65032271	65027471-65027636	65032430-65032551	Other CNS embryonal tumor
RPL36A-HNRNPH2	101395335-101395457	101391754-101391822	101411935-101412165	Other CNS embryonal tumor
DMD	31177932-31177970	31147274-31147518	31178668-31178805	Other CNS embryonal tumor
PFKP	3119892-3120044	3118781-3118869	3129818-3129983	Other CNS embryonal tumor
DNAL4	38780926-38781009	38778507-38779613	38782662-38782870	Other CNS embryonal tumor
TARBP1	234472714-234472811	234471187-234471257	234478172-234479179	Other CNS embryonal tumor
TTYH1	54429882-54429957	54426672-54426768	54430549-54430605	Other CNS embryonal tumor
RIMS2	103652624-103652710	103652204-103652237	103697085-103697296	Other CNS embryonal tumor
DLG4	7208075-7208239	7204198-7204252	7217117-7217206	Other high-grade glioma
CARD19	93111879-93111938	93107673-93107827	93112217-93112289	Other high-grade glioma
LRRC37A4P	45551440-45551537	45545604-45545676	45584571-45584705	Other high-grade glioma
PPCDC	75044386-75044514	75028248-75028453	75048552-75048721	Other high-grade glioma
VARS2	30920089-30920216	30918763-30919848	30920332-30920436	Other high-grade glioma
VARS2	30920095-30920216	30919757-30919848	30920332-30920436	Other high-grade glioma
YY1AP1	155674685-155674818	155672559-155672727	155675009-155675096	Other high-grade glioma
TIMM23B-AGAP6	49987165-49987234	49973011-49973142	49989307-49989376	Other high-grade glioma
WDFY1	223881942-223882072	223880123-223880232	223884647-223884749	Other high-grade glioma
ABI3BP	100824858-100824941	100823457-100823514	100828392-100828452	Other high-grade glioma
BEST3	69693729-69693907	69678738-69678893	69699204-69699351	Other high-grade glioma
PSD2	139822726-139822787	139821889-139822005	139833701-139833791	Other high-grade glioma
HSF4	67167461-67167599	67167119-67167222	67167823-67167947	Other high-grade glioma
PTCH2	44829157-44829312	44828981-44829074	44829401-44829533	Other high-grade glioma
UTRN	144437565-144437746	144435934-144436138	144438744-144438895	Other high-grade glioma
USP32P3	20420379-20420605	20416491-20416691	20424591-20424704	Other high-grade glioma
COL7A1	48570275-48570334	48570133-48570178	48570464-48570500	Other high-grade glioma
MAGED2	54815248-54815690	54814660-54814775	54815880-54816007	Other high-grade glioma
PAK3	111103159-111103306	111097540-111097684	111142095-111142196	Other high-grade glioma
WDR62	36091402-36091465	36091199-36091311	36092688-36092811	Other high-grade glioma
HLA-E	30491537-30491653	30491136-30491412	30492403-30492436	Other high-grade glioma
KMT5A	123389433-123389554	123388899-123389182	123390629-123390786	Other high-grade glioma
THRB	24297226-24297371	24228937-24229001	24318357-24318494	Other high-grade glioma
PAPSS1	107701171-107701285	107693769-107694006	107720119-107720234	Other high-grade glioma
DGKI	137487610-137487689	137469549-137469619	137521865-137521966	Other high-grade glioma
RPE	210009639-210009736	210003437-210003468	210015972-210016112	Other high-grade glioma
NKAIN3	62589714-62589794	62579538-62579676	62746931-62747129	Other high-grade glioma
ARHGAP21	24670218-24670397	24635010-24635103	24721836-24721866	Other high-grade glioma
DMD	33078186-33078347	33020138-33020200	33339258-33339609	Other high-grade glioma
HEMK1	50578821-50578926	50577508-50577573	50579843-50579939	Other high-grade glioma
SLC37A2	125084234-125084319	125083814-125083877	125084824-125084873	Other high-grade glioma
PCDH17	57666664-57666833	57634382-57635111	57724611-57725293	Other high-grade glioma
POLQ	121460050-121460234	121449314-121449426	121467518-121467640	Other high-grade glioma
NAPRT	143575191-143575345	143574784-143574900	143575422-143575525	Other high-grade glioma
DMPK	45771350-45771396	45770970-45771060	45771567-45771665	Other high-grade glioma
DOP1B	36199070-36199251	36164707-36164871	36208714-36208904	Other high-grade glioma
MGA	41742546-41743172	41739905-41740203	41748636-41748927	Other high-grade glioma
PMS2P1	100325691-100325868	100320438-100321084	100330181-100330284	Other high-grade glioma
PMS2P1	100328836-100329019	100320335-100321084	100330181-100330284	Other high-grade glioma
WASH2P	113595063-113595161	113588549-113588703	113595368-113595515	Other high-grade glioma
ERAL1	28858576-28858824	28858037-28858486	28858963-28859113	Other high-grade glioma
ENSG00000268750	57839023-57839149	57830311-57830564	57856103-57856233	Other high-grade glioma
RAB11A	65877332-65877527	65869463-65869625	65879670-65879679	Other high-grade glioma
RC3H2	122865349-122865541	122859916-122860131	122877470-122877583	Other high-grade glioma
ZC3H14	88602828-88603060	88596733-88596808	88607242-88607363	Other high-grade glioma
B3GALNT2	235458603-235458786	235455558-235455684	235465635-235465714	Other high-grade glioma
NAAA	75918761-75918789	75917466-75917773	75919908-75919975	Other high-grade glioma
MMP25-AS1	3058540-3058702	3055735-3055945	3058995-3059309	Other high-grade glioma
GIGYF1	100688592-100689555	100688450-100688515	100694109-100694250	Other high-grade glioma
SLC25A29	100298842-100298885	100293293-100293377	100306198-100306444	Other high-grade glioma
FLACC1	201330736-201330833	201330469-201330522	201342369-201342431	Other high-grade glioma
UNC80	209970832-209970957	209969767-209969891	209972200-209972324	Other high-grade glioma
TAF1	71393301-71393476	71392870-71392994	71394066-71394096	Other high-grade glioma
DMD	32342100-32342282	32310081-32310276	32343133-32343286	Other high-grade glioma
PRUNE1	151025515-151025673	151017811-151017904	151027232-151027327	Other high-grade glioma
SLC2A8	127403959-127404067	127403277-127403803	127404817-127404991	Other high-grade glioma
ARFGAP1	63285654-63285713	63284114-63284922	63286371-63286442	Other high-grade glioma
VIPR1	42513749-42513854	42502622-42502813	42519222-42519314	Other high-grade glioma
TRRAP	98945930-98945950	98945746-98945800	98948220-98948340	Other high-grade glioma
ENSG00000242588	128623575-128623781	128622478-128622694	128625796-128625855	Other high-grade glioma
RBM39	35713019-35713096	35709032-35709256	35714184-35714251	Other high-grade glioma
DLX6-AS1	96979084-96979591	96969073-96969118	97003508-97004317	Other high-grade glioma
LINC01141	20428584-20428670	20406186-20406269	20428917-20429170	Other high-grade glioma
EYA2	47180815-47180936	47172706-47172867	47183290-47183391	Other high-grade glioma
DLX6-AS1	96979084-96979591	96969073-96969118	97003276-97003554	Other high-grade glioma
COL16A1	31692598-31692642	31692473-31692509	31692766-31692808	Other high-grade glioma
MPDU1	7585732-7585797	7583665-7583965	7586691-7586777	Other high-grade glioma
RNF13	149902072-149902162	149895472-149895570	149911977-149912083	Other high-grade glioma
TRIM9	51000683-51000828	50981799-50982103	51009079-51009233	Other high-grade glioma
ZNF773	57508520-57508564	57505301-57505400	57513021-57513151	Other high-grade glioma
SPAG1	100162279-100162420	100157905-100158118	100165813-100165973	Other high-grade glioma
ENSG00000227733	148207934-148207963	148205760-148206633	148208532-148208654	Other high-grade glioma
MAP2K4	12081356-12081530	12020869-12021001	12095574-12095694	Other high-grade glioma
PIBF1	72893784-72893949	72854056-72854155	72908530-72908681	Other high-grade glioma
ANO2	5744157-5744317	5739316-5739399	5750835-5750970	Other high-grade glioma
TANC1	159150370-159150556	159136193-159136298	159169249-159169372	Other high-grade glioma
PLXNA4	132210943-132211143	132203322-132203419	132223526-132223641	Other high-grade glioma
C11orf80	66822564-66822674	66816052-66816199	66828265-66828364	Other high-grade glioma
RGS6	71964772-71964875	71932428-71932941	72352094-72352194	Other high-grade glioma
WASH3P	101972596-101972694	101965952-101966223	101972900-101973047	Other high-grade glioma
CASTOR3	100222597-100222720	100212021-100213133	100223881-100224075	Other high-grade glioma
LIMS2	127642049-127642199	127640269-127640988	127642922-127643072	Other high-grade glioma
SIGLEC7	51146754-51146850	51145854-51146121	51147220-51147317	Other high-grade glioma
CBX6	38871902-38871945	38871691-38871757	38872121-38872216	Other high-grade glioma
TTC14	180604852-180605007	180604477-180604607	180605765-180605837	Other high-grade glioma
ADAM32	39254414-39254516	39246082-39246166	39257186-39257343	Other high-grade glioma
AGBL3	135059169-135059235	135045473-135045574	135076396-135076468	Other high-grade glioma
TASOR2	5709530-5709663	5684941-5685175	5712393-5712539	Other high-grade glioma
CRTC1	18774900-18774986	18768484-18768793	18775640-18775821	Other high-grade glioma
RNF115	145788908-145788966	145784538-145784596	145823771-145824095	Other high-grade glioma
RGS19	64076857-64076954	64076524-64076646	64079872-64079988	Other high-grade glioma
ENSG00000288632	29569271-29569328	29566085-29566249	29613102-29613717	Other high-grade glioma
ANKRD11	89316933-89317075	89305205-89305344	89418283-89418312	Other high-grade glioma
ANKRD11	89316933-89317078	89305099-89305344	89418283-89418305	Other high-grade glioma
SPRED3	38394643-38394786	38392211-38392288	38395479-38399587	Other high-grade glioma
SPATA13	24222819-24224582	24160719-24160932	24249476-24249842	Other high-grade glioma
DLST	74889878-74889952	74889274-74889349	74891055-74891193	Other high-grade glioma
BAZ1B	73476868-73478569	73470344-73470483	73489193-73489391	Other high-grade glioma
DISC1	231800108-231800210	231770834-231771070	231818328-231818517	Other high-grade glioma
DCLK2	150193138-150193240	150102477-150102812	150198001-150198103	Other high-grade glioma
CHGA	92926605-92926698	92923362-92923405	92927549-92927618	Other high-grade glioma
MIATNB	26717253-26717459	26672746-26672987	26726643-26726720	Other high-grade glioma
ZHX3	41202057-41205066	41178447-41185201	41268989-41269083	Other high-grade glioma
MBTPS1	84084983-84085134	84081746-84081908	84087357-84087460	Other high-grade glioma
ARFIP2	6480323-6480423	6479971-6480068	6481230-6481312	Other high-grade glioma
ARHGEF3	57035088-57035176	56958822-56958889	57078546-57078815	Other high-grade glioma
ANO6	45270462-45270524	45228167-45228273	45302013-45302093	Other high-grade glioma
DNAJC18	139422708-139422817	139420052-139420225	139425004-139425048	Other high-grade glioma
HMGCS1	43307766-43307824	43298445-43298975	43313021-43313224	Other high-grade glioma
PEX2	76988307-76988338	76980257-76984195	76999989-77000078	Other high-grade glioma
IBTK	82240166-82240843	82234158-82234255	82247561-82247671	Other high-grade glioma
POLH	43597696-43597865	43587271-43587489	43600987-43601091	Other high-grade glioma
ZNF827	145870245-145870478	145849321-145849561	145885677-145885769	Other high-grade glioma
YWHAZ	100948596-100948732	100924915-100925039	100951928-100952619	Other high-grade glioma
APTX	32987544-32987731	32985970-32986030	32989758-32989895	Other high-grade glioma
APTX	32987544-32987846	32985535-32986030	32989758-32989895	Other high-grade glioma
APTX	32987544-32988129	32985970-32986030	32989758-32989895	Other high-grade glioma
CLEC16A	11003074-11003257	10982877-10982991	11020192-11020325	Other high-grade glioma
CLEC16A	11003074-11003305	10982877-10982991	11020192-11020325	Other high-grade glioma
TMEM198B	55832871-55833014	55830853-55831083	55833446-55833541	Other high-grade glioma
ADAP2	30931889-30931968	30926808-30926918	30934184-30934297	Other high-grade glioma
GAS5	173864675-173864704	173863900-173864304	173865470-173865547	Other high-grade glioma
GLIPR2	36147786-36147894	36136535-36136791	36150871-36150949	Other high-grade glioma
GAS5	173866528-173866567	173865856-173866206	173866990-173867043	Other high-grade glioma
GAS5	173866528-173866796	173865856-173866206	173866990-173867043	Other high-grade glioma
TTC7B	90578106-90578308	90524563-90541589	90593485-90593626	Other high-grade glioma
KREMEN1	29125263-29125416	29098861-29098953	29137341-29137674	Other high-grade glioma
MACROD1	64015252-64015281	64000226-64000343	64151238-64151355	Other high-grade glioma
ST8SIA5	46721362-46721469	46691449-46692255	46756377-46756809	Other high-grade glioma
KAT2B	20127423-20127549	20125904-20126113	20136941-20137052	Other high-grade glioma
KCTD20	36479591-36479711	36474788-36475062	36481561-36481759	Other high-grade glioma
MAP1A	43520641-43520723	43512189-43512291	43520971-43521112	Other high-grade glioma
LRRC23	6909890-6910026	6907314-6907445	6912729-6912811	Other high-grade glioma
PNPT1	55686370-55686444	55684942-55685048	55693662-55693823	Other high-grade glioma
STOX2	184001325-184001477	183905306-183906956	184009157-184009490	Other high-grade glioma
ASB1	238433554-238433695	238426926-238427119	238444341-238444727	Other high-grade glioma
PADI2	17084599-17084702	17083725-17083837	17086520-17086699	Other high-grade glioma
ACOT11	54585835-54585904	54584654-54584862	54593940-54594039	Other high-grade glioma
POLR3GL	145977084-145977152	145974824-145974991	145977482-145977539	Other high-grade glioma
HSPD1	197490197-197490296	197489001-197489247	197493323-197493492	Other high-grade glioma
SLC22A3	160436997-160437211	160410728-160410846	160442760-160442869	Other high-grade glioma
FKBP5	35591130-35591220	35587033-35587117	35597247-35597404	Other high-grade glioma
PPP1R37	45138514-45138611	45093178-45093527	45140505-45140606	Other high-grade glioma
AUTS2	70771549-70771644	70766113-70766334	70777102-70777135	Other high-grade glioma
TRIM28	58545764-58545896	58544063-58545097	58547375-58547511	Other high-grade glioma
CALCOCO1	53724645-53724747	53723549-53723783	53725086-53725258	Other high-grade glioma
CEP350	180006454-180006567	179996552-179997175	180011928-180012075	Other high-grade glioma
PIGT	45424461-45424579	45424269-45424381	45425573-45426189	Other high-grade glioma
EPB41L2	130869563-130870126	130865535-130865634	130885095-130885268	Other high-grade glioma
AKTIP	53494339-53494437	53492692-53492753	53494516-53494605	Other high-grade glioma
NPRL3	124937-125073	119125-119255	138149-138334	Other high-grade glioma
UBXN11	26294205-26294331	26285822-26286037	26301693-26301722	Other high-grade glioma
COL27A1	114250615-114250668	114245865-114245910	114252592-114252646	Other high-grade glioma
CCDC7	32571859-32571893	32565557-32565620	32584231-32584304	Other high-grade glioma
UBE2K	39755657-39755739	39745751-39745810	39774833-39774933	Other high-grade glioma
WDR27	169663563-169663649	169662303-169662424	169664165-169664286	Other high-grade glioma
MIR100HG	122100374-122100406	122089122-122091740	122101446-122101783	Other high-grade glioma
DNAH11	21655832-21655981	21638938-21639065	21681545-21681677	Other high-grade glioma
USP28	113854258-113854335	113841662-113841768	113875444-113875528	Other high-grade glioma
LCOR	96833406-96833479	96832253-96832395	96907264-96907330	Other high-grade glioma
SEMA6D	47241240-47241370	47184100-47184418	47470473-47470545	Other high-grade glioma
AKAP9	91973711-91973968	91940839-91941147	91980288-91980333	Other high-grade glioma
DHPS	12677108-12677211	12676016-12676105	12677290-12677396	Other high-grade glioma
TNC	115057153-115057425	115048259-115048532	115064646-115064912	Other high-grade glioma
TNC	115063796-115064068	115048259-115048532	115064646-115064919	Other high-grade glioma
IGF2-AS	2146245-2146527	2140516-2140947	2147317-2148666	Other high-grade glioma
IGF2-AS	2146356-2146527	2140500-2140947	2147317-2148339	Other high-grade glioma
TNC	115057153-115057425	115048259-115048532	115063795-115064068	Other high-grade glioma
CENPK	65528919-65529017	65528451-65528578	65529116-65529199	Other high-grade glioma
LINC00320	20778643-20778762	20775041-20778547	20781348-20781474	Other high-grade glioma
LINC00320	20778643-20778796	20778417-20778547	20781348-20781474	Other high-grade glioma
ZNF248	37831232-37831312	37803832-37803943	37833024-37833116	Other high-grade glioma
SZT2	43404380-43404550	43403600-43403774	43415081-43415213	Other high-grade glioma
TAF6	100118518-100118649	100114053-100114231	100119203-100119238	Other high-grade glioma
TBC1D25	48558897-48559024	48544868-48545023	48559157-48559284	Other high-grade glioma
LRRC4C	40140801-40140853	40114204-40116334	40319627-40319721	Other high-grade glioma
FAM227A	38639615-38639724	38638745-38638822	38645562-38645645	Other high-grade glioma
FAM227A	38639655-38639724	38638745-38638822	38645562-38645645	Other high-grade glioma
FBXL4	98927705-98927822	98905425-98905670	98947805-98948006	Other high-grade glioma
TNR	175362663-175362809	175359611-175359731	175365009-175365279	Other high-grade glioma
TNR	175363708-175363827	175359611-175359731	175365009-175365279	Other high-grade glioma
MAPKBP1	41812516-41812653	41811956-41812127	41812918-41813101	Other high-grade glioma
ZMIZ2	44756188-44756299	44748846-44748991	44756424-44756539	Other high-grade glioma
OPALIN	96355255-96355290	96351377-96351410	96358893-96359002	Other high-grade glioma
SMAP2	40406736-40406869	40373726-40374223	40408652-40408738	Other high-grade glioma
DOCK8	271627-271729	214853-215029	286460-286636	Other high-grade glioma
DISP1	222823856-222823945	222815058-222815078	222835118-222835215	Other high-grade glioma
HACD3	65556739-65556903	65554886-65554960	65558679-65558731	Other high-grade glioma
CYSLTR2	48691212-48691278	48653710-48654017	48696525-48696626	Other high-grade glioma
STAG3L4	67320103-67320336	67309563-67309715	67330262-67330394	Other high-grade glioma
ENSG00000237188	147280026-147280191	147276103-147276257	147285323-147285487	Other high-grade glioma
HNRNPDL	82427433-82427564	82427189-82427304	82429247-82429425	Other high-grade glioma
MYBL1	66566064-66566243	66562174-66564825	66566683-66566788	Other high-grade glioma
PRR14	30650993-30651127	30650777-30650806	30651595-30651668	Other high-grade glioma
PRORP	35123505-35124231	35122758-35122910	35126734-35126782	Other high-grade glioma
LSM14B	62127585-62127701	62126303-62126439	62130218-62130296	Other high-grade glioma
SYTL4	100704811-100704886	100701927-100702107	100732003-100732121	Other high-grade glioma
SYTL4	100704811-100704886	100703092-100703185	100732003-100732121	Other high-grade glioma
BACH2	90271849-90271941	90206568-90206681	90296479-90296742	Other high-grade glioma
PRKCA	66496201-66496283	66306095-66306127	66641354-66641466	Other high-grade glioma
ZBED3-AS1	77098655-77098747	77087001-77087619	77118319-77118521	Other high-grade glioma
CFAP44	113341744-113341918	113333405-113333583	113358744-113358875	Other high-grade glioma
ENSG00000285585	119733364-119733506	119732293-119732476	119737365-119737482	Other high-grade glioma
CERKL	181547822-181547847	181547617-181547726	181548544-181548604	Other high-grade glioma
RSRP1	25244454-25244498	25243549-25244224	25245149-25245301	Other high-grade glioma
UBQLN1	83686004-83686155	83678440-83678599	83707499-83707934	Other high-grade glioma
VPS33B	91017805-91017885	91014383-91014433	91022153-91022513	Other high-grade glioma
MYO5B	49864141-49864380	49863226-49863327	49872166-49872232	Other high-grade glioma
CDR2	22422161-22422214	22364901-22365014	22429795-22429948	Other high-grade glioma
