Gene	Exon_coord	Upstream_exon_coord	Downstream_exon_coord	Histology
LINC01141	20428584-20428670	20406186-20406269	20428917-20429170	Mixed neuronal-glial tumor
USP10	84704740-84704860	84699994-84700111	84733052-84733061	Mixed neuronal-glial tumor
MAOB	43844456-43844645	43843799-43843934	43882253-43882435	Mixed neuronal-glial tumor
PHF12	28944503-28944569	28926990-28927063	28950064-28950662	Mixed neuronal-glial tumor
NEBL	20809806-20809898	20787201-20787308	20812768-20812940	Mixed neuronal-glial tumor
DGCR5	18990720-18990924	18970514-18970658	19014352-19014506	Mixed neuronal-glial tumor
TRPC1	142736379-142736533	142724033-142724731	142748257-142748460	Mixed neuronal-glial tumor
CRYL1	20515721-20515820	20512442-20512550	20525753-20525857	Mixed neuronal-glial tumor
ARL11	49630034-49630099	49628522-49628615	49630429-49633872	Mixed neuronal-glial tumor
CNTNAP3B	41964538-41964644	41960772-41960892	41986167-41986311	Mixed neuronal-glial tumor
C4orf50	6007996-6008532	5994346-5994476	6011829-6011968	Mixed neuronal-glial tumor
CSPP1	67078367-67078487	67076481-67076581	67086006-67086110	Mixed neuronal-glial tumor
ENSG00000287158	84008151-84008183	83990640-83990728	84045604-84046391	Mixed neuronal-glial tumor
AAK1	69482711-69482812	69465845-69466551	69495984-69496080	Mixed neuronal-glial tumor
RYR2	237755061-237755117	237743599-237743623	237756287-237756387	Mixed neuronal-glial tumor
CROCCP2	16643028-16643145	16633094-16633346	16644645-16644672	Mixed neuronal-glial tumor
CHP1	41234139-41234234	41231238-41231449	41243666-41243739	Mixed neuronal-glial tumor
STX17	99916049-99916168	99915177-99915362	99928777-99928843	Mixed neuronal-glial tumor
ZNF74	20399595-20399690	20395332-20395418	20400631-20400758	Mixed neuronal-glial tumor
TBCD	82908297-82908437	82907760-82907821	82909284-82909307	Mixed neuronal-glial tumor
LINC00595	78373920-78374042	78179204-78179246	78380392-78380630	Mixed neuronal-glial tumor
UCHL1	41257115-41257126	41256927-41257009	41260646-41260797	Mixed neuronal-glial tumor
ZNF263	3285681-3285754	3283505-3284205	3286022-3286149	Mixed neuronal-glial tumor
ZPLD2P	26227404-26227555	26225314-26225703	26227793-26227996	Mixed neuronal-glial tumor
MIR7-3HG	4770524-4770614	4770347-4770449	4772163-4772517	Mixed neuronal-glial tumor
MIR7-3HG	4770549-4770614	4770282-4770449	4772163-4772537	Mixed neuronal-glial tumor
PIPOX	29040683-29040790	28953363-28953408	29044858-29045007	Mixed neuronal-glial tumor
LRRFIP1	237727876-237727935	237720771-237720822	237739231-237739309	Mixed neuronal-glial tumor
ACTN2	236734433-236734518	236731232-236731314	236737121-236737180	Mixed neuronal-glial tumor
RBFOX1	6775733-6776011	6654602-6654650	7052056-7052098	Mixed neuronal-glial tumor
TMEM230	5111057-5111174	5109331-5109445	5111499-5111605	Mixed neuronal-glial tumor
NPM2	22024724-22024830	22024124-22024257	22025215-22025306	Mixed neuronal-glial tumor
LINC01145	145214677-145214731	145170941-145171185	145215638-145215726	Mixed neuronal-glial tumor
SNRPN	24974288-24974456	24967931-24968082	24976876-24977029	Mixed neuronal-glial tumor
KIFBP	68995204-68995278	68988802-68989258	69000423-69000522	Mixed neuronal-glial tumor
TRIM36	115159641-115159670	115147175-115147394	115163517-115163752	Mixed neuronal-glial tumor
LINC01237	241934074-241934210	241882559-241882635	241965926-241966047	Mixed neuronal-glial tumor
PPP1R3F	49285834-49287727	49281980-49282063	49299275-49299435	Mixed neuronal-glial tumor
ZNF664	123989309-123989442	123988045-123988138	124003422-124003540	Mixed neuronal-glial tumor
CAPZA1	112646755-112646794	112619831-112619883	112647209-112647273	Mixed neuronal-glial tumor
RXRG	165424751-165424808	165419869-165420014	165428718-165428966	Mixed neuronal-glial tumor
SRCIN1	38574876-38574974	38564117-38564313	38578489-38578791	Mixed neuronal-glial tumor
DPY19L2P1	35183501-35183525	35179017-35179155	35185719-35186041	Mixed neuronal-glial tumor
MRI1	13765954-13766065	13764870-13765109	13768358-13768680	Mixed neuronal-glial tumor
MARK3	103500156-103500200	103487180-103492034	103502881-103503071	Mixed neuronal-glial tumor
TBC1D5	17646961-17647056	17623848-17623913	17742480-17742594	Mixed neuronal-glial tumor
DLGAP1-AS4	3998483-3998536	3995607-3995716	4013618-4013921	Mixed neuronal-glial tumor
ST6GAL1	187038395-187038491	187021855-187022004	187038741-187038873	Mixed neuronal-glial tumor
LINC00507	127948824-127948958	127944717-127944799	127949973-127950370	Mixed neuronal-glial tumor
MIAT	26660699-26660816	26657283-26657354	26663315-26663398	Mixed neuronal-glial tumor
NCAM1	113242805-113242846	113235032-113235164	113255876-113256001	Mixed neuronal-glial tumor
SNHG14	25218928-25218972	25213973-25214018	25222158-25222285	Mixed neuronal-glial tumor
MTA1	105445667-105445852	105445417-105445511	105450057-105450184	Mixed neuronal-glial tumor
TTC21B	165936921-165937067	165932972-165933057	165941026-165941184	Mixed neuronal-glial tumor
RGL1	183806375-183806485	183742125-183742289	183847565-183847774	Neurofibroma plexiform
ENSG00000276170	38451306-38451525	38450393-38450723	38451625-38451827	Neurofibroma plexiform
ENSG00000276170	38451306-38451393	38450393-38450723	38451625-38451756	Neurofibroma plexiform
PODNL1	13935980-13936044	13933877-13933993	13936366-13936460	Neurofibroma plexiform
MCCC1	183090936-183091031	183086692-183086788	183092408-183092545	Neurofibroma plexiform
ATP5F1A	46093180-46093365	46091681-46091851	46095052-46095131	Neurofibroma plexiform
HSDL2	112438743-112438812	112438430-112438625	112441698-112441770	Neurofibroma plexiform
MAPT	45983178-45983930	45978374-45978440	45987039-45987095	Neurofibroma plexiform
TFPI	187544504-187544637	187503647-187503770	187554199-187554461	Neurofibroma plexiform
TMEM184B	38246806-38246885	38245934-38246100	38247769-38248019	Neurofibroma plexiform
MKNK2	2039631-2039856	2037464-2037829	2040133-2040177	Neurofibroma plexiform
ZNF10	133139199-133139249	133130836-133131014	133144433-133144525	Neurofibroma plexiform
CTDSPL2	44470469-44470574	44458990-44459200	44484223-44484347	Neurofibroma plexiform
ABCA8	68949312-68949472	68940757-68940962	68955218-68955351	Neurofibroma plexiform
ECSIT	11510617-11510660	11507990-11508048	11519074-11519948	Neurofibroma plexiform
CARS1	3040448-3040581	3039834-3039931	3040895-3040984	Neurofibroma plexiform
ZNF573	37758476-37758596	37738286-37740194	37759046-37759139	Neurofibroma plexiform
SLC6A1	11014718-11014874	10992753-10992929	11015671-11015733	Neurofibroma plexiform
RBM6	50065579-50065632	50065030-50065126	50066241-50066442	Non-neoplastic tumor
P2RX4	121222947-121222962	121222093-121222166	121228532-121228613	Non-neoplastic tumor
RAB8B	63223042-63223073	63189559-63189748	63244755-63244816	Non-neoplastic tumor
COL1A1	50192994-50193047	50192639-50192693	50194129-50194183	Non-neoplastic tumor
TIE1	43307796-43307924	43307431-43307572	43308985-43309131	Non-neoplastic tumor
ENSG00000244055	92465102-92465189	92462957-92463026	92491242-92491610	Non-neoplastic tumor
LRRC8B	89549915-89549971	89524853-89525022	89568246-89568307	Non-neoplastic tumor
FHAD1	15383156-15383402	15382027-15382193	15397296-15397516	Non-neoplastic tumor
PARN	14591913-14592033	14586317-14586361	14593300-14593378	Non-neoplastic tumor
CD44	35196746-35196874	35189834-35190065	35198120-35198246	Non-neoplastic tumor
DFFB	3873014-3873137	3872471-3872572	3883506-3885429	Non-neoplastic tumor
PEAK1	77365163-77365225	77286422-77286504	77420005-77420094	Non-neoplastic tumor
DTX2	76476943-76477178	76461696-76461836	76480420-76480447	Non-neoplastic tumor
MYH11	15784698-15784718	15782384-15782477	15786629-15786732	Non-neoplastic tumor
ATM	108320710-108320780	108319953-108320058	108321300-108321420	Non-neoplastic tumor
ENSG00000286112	128847433-128847643	128845352-128845411	128881896-128881931	Non-neoplastic tumor
ENSG00000261832	28491482-28491513	28489289-28489386	28491713-28491835	Non-neoplastic tumor
MYLK	123835868-123835935	123831547-123831670	123884205-123884331	Non-neoplastic tumor
RBM25	73069853-73069920	73064971-73065093	73071626-73071747	Non-neoplastic tumor
SEMA4D	89418363-89418437	89418055-89418118	89436321-89436578	Non-neoplastic tumor
CYRIB	129912360-129912417	129904498-129904585	129939607-129939872	Non-neoplastic tumor
PTP4A2	31930933-31931142	31918999-31919658	31937777-31937800	Non-neoplastic tumor
GABARAPL1	10214074-10214187	10213428-10213714	10218062-10218141	Non-neoplastic tumor
UCHL3	75589938-75590129	75569459-75569507	75594914-75594990	Non-neoplastic tumor
SCAPER	76793233-76793391	76774854-76775117	76795279-76795440	Non-neoplastic tumor
HENMT1	108649341-108649433	108648294-108648991	108650210-108650388	Non-neoplastic tumor
ELOVL1	43366268-43366411	43365563-43365623	43367914-43368003	Non-neoplastic tumor
ELOVL1	43366268-43366416	43365563-43365623	43367914-43368074	Non-neoplastic tumor
SLC49A3	685835-685911	684718-684856	686531-686690	Non-neoplastic tumor
CAPN3	42405926-42405943	42404732-42404955	42408210-42408324	Non-neoplastic tumor
DMKN	35506126-35506185	35505938-35505986	35508204-35508240	Non-neoplastic tumor
ENSG00000235978	4825746-4825862	4814296-4814431	4830946-4831018	Non-neoplastic tumor
ABHD12B	50878745-50878847	50872159-50872278	50880451-50880571	Non-neoplastic tumor
TUFT1	151562091-151562165	151540308-151540426	151562584-151562686	Non-neoplastic tumor
DMKN	35507458-35507511	35506125-35506185	35510183-35510211	Non-neoplastic tumor
PRKAB2	147160797-147160833	147159218-147159642	147161711-147161780	Non-neoplastic tumor
KRT10-AS1	40828057-40828296	40819121-40819208	40833114-40833199	Non-neoplastic tumor
KRT10-AS1	40828104-40828296	40819144-40819208	40833114-40833199	Non-neoplastic tumor
DNAJB6	157337561-157337811	157337054-157337144	157358546-157358637	Non-neoplastic tumor
SPDL1	169587199-169587372	169583635-169583889	169588393-169588575	Non-neoplastic tumor
TMEM45A	100519077-100519316	100492650-100492928	100519461-100519608	Non-neoplastic tumor
MBNL1	152335111-152335230	152300197-152300367	152414940-152415109	Non-neoplastic tumor
ATP6V1C2	10777585-10777722	10774977-10775071	10778571-10778652	Non-neoplastic tumor
DGLUCY	91147781-91147858	91114369-91114528	91157638-91157690	Non-neoplastic tumor
AHSA2P	61185980-61186081	61185501-61185618	61186445-61186497	Non-neoplastic tumor
DOCK10	224784737-224784742	224778137-224778284	224787021-224787118	Non-neoplastic tumor
LINC01141	20378311-20378432	20372949-20373738	20398482-20398738	Non-neoplastic tumor
LMCD1-AS1	8194916-8195073	7992225-7992302	8494680-8494766	Non-neoplastic tumor
FAM95C	38573084-38573129	38572005-38572059	38575475-38575698	Non-neoplastic tumor
OSBPL9	51752503-51752725	51750144-51750195	51756319-51756657	Non-neoplastic tumor
NEK1	169478353-169478380	169477431-169477497	169479402-169479534	Non-neoplastic tumor
CEP57L1	109100192-109100286	109095152-109095575	109145218-109145307	Non-neoplastic tumor
ATG4D	10547189-10547253	10544956-10545130	10548903-10549034	Non-neoplastic tumor
LINC01322	165374259-165374424	165345471-165345525	165382794-165382907	Non-neoplastic tumor
MYLK	123835868-123835935	123831547-123831670	123876558-123876617	Non-neoplastic tumor
TLR10	38776110-38776426	38772238-38775652	38782920-38782989	Non-neoplastic tumor
ARAP3	141655362-141655400	141653400-141654435	141655620-141655758	Non-neoplastic tumor
ENSG00000271860	98270598-98270656	98099185-98099270	98275163-98275267	Non-neoplastic tumor
TOM1L1	54942289-54942491	54938923-54939020	54947260-54947311	Non-neoplastic tumor
ENSG00000267120	35739710-35740088	35739251-35739626	35740379-35740564	Non-neoplastic tumor
ARHGEF1	41897315-41897326	41896376-41896482	41897945-41898113	Non-neoplastic tumor
TARDBP	11016123-11016254	11013715-11013965	11016843-11017007	Non-neoplastic tumor
CBLB	105681479-105681610	105678430-105678571	105681723-105681818	Non-neoplastic tumor
DZIP3	108603019-108603234	108589733-108589839	108605334-108605438	Non-neoplastic tumor
PASK	241108467-241108807	241108166-241108300	241112239-241112425	Non-neoplastic tumor
ATP6AP1	154431520-154431657	154429126-154429174	154431829-154431904	Non-neoplastic tumor
SLC41A2	104931632-104931791	104928299-104928694	104958600-104958698	Non-neoplastic tumor
PEX5L	179971594-179971665	179887672-179887784	180036578-180036937	Non-neoplastic tumor
PPM1D	60624471-60624689	60623520-60623749	60633852-60633977	Non-neoplastic tumor
AP1G2	23565816-23565892	23565605-23565701	23566063-23566160	Non-neoplastic tumor
METTL8	171414603-171414726	171360421-171360513	171433882-171434087	Non-neoplastic tumor
MAP3K8	30437176-30437406	30434183-30434378	30438915-30439274	Non-neoplastic tumor
LRP12	104531907-104531963	104508938-104509074	104588818-104589258	Non-neoplastic tumor
NR4A1	52052500-52052645	52051462-52051568	52054326-52055204	Non-neoplastic tumor
DMKN	35505939-35506049	35505717-35505765	35510183-35510231	Non-neoplastic tumor
ZNF10	133143520-133143622	133130836-133131014	133144433-133144525	Non-neoplastic tumor
ZBTB7B	155010916-155011015	155002629-155002943	155014014-155014093	Non-neoplastic tumor
ZBTB7B	155010916-155011015	155002629-155002943	155014654-155015814	Non-neoplastic tumor
DTX2	76463445-76463709	76461696-76461836	76480420-76480584	Non-neoplastic tumor
ALOX12B	8079396-8079539	8076989-8077193	8079768-8079941	Non-neoplastic tumor
TMEM79	156285525-156285983	156285183-156285267	156286259-156286473	Non-neoplastic tumor
LCMT1	25125964-25126126	25111744-25111768	25128474-25128566	Non-neoplastic tumor
TANGO2	20055943-20056013	20052464-20052584	20061529-20061576	Non-neoplastic tumor
SFXN2	102729319-102729394	102728430-102728529	102729722-102729808	Non-neoplastic tumor
DCAF6	168022988-168023047	168004532-168004793	168043024-168043140	Non-neoplastic tumor
GABARAPL1	10213836-10214187	10212892-10213219	10214668-10214779	Non-neoplastic tumor
ABCB9	122940807-122940995	122939448-122940284	122944390-122944519	Non-neoplastic tumor
FAM118A	45337834-45337968	45336394-45336411	45340385-45340882	Non-neoplastic tumor
CTSB	11857858-11857940	11853328-11853479	11861405-11861479	Non-neoplastic tumor
BCAS3	61380506-61380571	61368326-61368494	61388617-61388708	Non-neoplastic tumor
ATP11A	112880546-112880649	112878216-112878303	112881875-112882188	Non-neoplastic tumor
NPIPB4	21839940-21840008	21839249-21839310	21843385-21843412	Non-neoplastic tumor
RUBCNL	46368489-46368615	46368041-46368249	46368732-46368815	Non-neoplastic tumor
FAM86EP	3954960-3955033	3953110-3953173	3955323-3955394	Non-neoplastic tumor
PACRGL	20702141-20702221	20700465-20700611	20704465-20704524	Non-neoplastic tumor
ADAM22	88178935-88179042	88168136-88168227	88181504-88181605	Non-neoplastic tumor
GLRA3	174656743-174656787	174636919-174644064	174659053-174659197	Non-neoplastic tumor
NFASC	205001170-205001286	204991291-204991306	205009556-205009688	Non-neoplastic tumor
EXTL2	100878424-100878447	100877475-100877903	100888752-100888828	Non-neoplastic tumor
DGKZ	46366244-46366984	46332904-46333487	46367290-46367399	Non-neoplastic tumor
NIN	50794436-50794525	50792711-50792881	50806736-50806818	Non-neoplastic tumor
SORBS1	95394611-95394673	95384237-95384285	95397219-95397283	Non-neoplastic tumor
CELF1	47506858-47506897	47500860-47500932	47552991-47553132	Non-neoplastic tumor
GMDS-DT	2271816-2273417	2269697-2269799	2283498-2283774	Non-neoplastic tumor
NDRG1	133288260-133288431	133284248-133284329	133297133-133297252	Non-neoplastic tumor
CD44	35209965-35210054	35189834-35190065	35214851-35214914	Non-neoplastic tumor
TBL1XR1	177110809-177110887	177098486-177098541	177160870-177160988	Non-neoplastic tumor
DENND2C	114654505-114654761	114645447-114645559	114669982-114670049	Non-neoplastic tumor
PMS2P1	100328836-100329194	100320912-100321084	100330181-100330284	Non-neoplastic tumor
PIKFYVE	208276712-208276830	208274017-208274053	208285725-208285933	Non-neoplastic tumor
WDR35	19962295-19962327	19960553-19960614	19966723-19966909	Non-neoplastic tumor
PRKAG2	151631638-151631768	151595344-151595454	151632068-151632177	Non-neoplastic tumor
CPLX2	175809333-175809392	175808988-175809068	175878651-175878759	Non-neoplastic tumor
MIR7-3HG	4770085-4770221	4769577-4769757	4772131-4772556	Non-neoplastic tumor
PIMREG	6446095-6446187	6445075-6445404	6447462-6447758	Non-neoplastic tumor
MEF2A	99671323-99671454	99645560-99645764	99671519-99671669	Other CNS embryonal tumor
CCDC150	196677115-196677192	196676553-196676731	196677292-196677361	Other CNS embryonal tumor
CTBP2	125122657-125122868	125110996-125111093	125159856-125159957	Other CNS embryonal tumor
STAU2	73688654-73688813	73617291-73617451	73746782-73746840	Other CNS embryonal tumor
MAST4	66870778-66870852	66788780-66788794	66899950-66899982	Other CNS embryonal tumor
PLEKHA6	204255626-204255679	204251530-204251611	204257352-204257869	Other CNS embryonal tumor
KIFBP	69006842-69006929	69005731-69005915	69008840-69008925	Other CNS embryonal tumor
CADM2	85726522-85726548	84958988-84959668	85802046-85802196	Other CNS embryonal tumor
ROBO2	77602935-77603060	77602209-77602491	77607797-77607954	Other CNS embryonal tumor
SLIT2	20573234-20573260	20568864-20569004	20589643-20589737	Other CNS embryonal tumor
PTPRD	8438701-8438820	8437197-8437239	8449724-8449837	Other CNS embryonal tumor
SLC6A4	30222819-30222915	30221615-30222081	30235612-30235697	Other CNS embryonal tumor
FAIM	138610604-138611037	138608605-138608937	138619710-138619770	Other CNS embryonal tumor
MCF2L	113090068-113090151	113089609-113089728	113094513-113094635	Other CNS embryonal tumor
ZNF678	227650956-227651076	227646543-227646670	227654335-227654353	Other high-grade glioma
DCAF8	160243960-160244034	160239221-160240370	160261284-160261325	Other high-grade glioma
SAP130	127977985-127978089	127954985-127955344	127986784-127986959	Other high-grade glioma
TPTEP1	16622841-16622897	16602043-16602215	16637039-16637090	Other high-grade glioma
HERC2P3	20461192-20461342	20458231-20458447	20462342-20462446	Other high-grade glioma
TRDMT1	17161483-17161548	17160304-17160374	17168840-17168917	Other high-grade glioma
LRRC37A4P	45542764-45542835	45521306-45521425	45545604-45545676	Other high-grade glioma
FAM107B	14553322-14553387	14530331-14530515	14571923-14571999	Other high-grade glioma
MAX	65077563-65077643	65077384-65077428	65077912-65078036	Other high-grade glioma
METTL25	82438718-82438791	82434694-82434724	82456726-82456820	Other high-grade glioma
PIEZO2	10801390-10801428	10800336-10800475	10803874-10803994	Other high-grade glioma
ANXA2	60390213-60390317	60386027-60386086	60397942-60397986	Other high-grade glioma
PRKCE	45840380-45840551	45652400-45652448	45842999-45843063	Other high-grade glioma
CHRNA1	174757946-174758020	174757565-174757675	174759330-174759375	Other high-grade glioma
CDHR3	105912483-105912638	105876820-105877257	105974843-105975046	Other high-grade glioma
PCDHA10	140984066-140984249	140982474-140982563	141009626-141009850	Other high-grade glioma
ENSG00000286961	22755016-22755086	22754492-22754711	22757050-22757112	Other high-grade glioma
UQCRB	96231532-96231621	96230938-96231132	96231773-96231940	Other high-grade glioma
STAT1	190975310-190975434	190974829-190974932	190975811-190975887	Other high-grade glioma
SETD5	9431708-9432324	9428822-9429009	9433844-9433950	Other high-grade glioma
BIN3	22634413-22634525	22630441-22630578	22636524-22636586	Other high-grade glioma
ANKAR	189733107-189733229	189728659-189728821	189741341-189741451	Other high-grade glioma
FAM189A2	69383446-69383521	69377610-69377744	69383629-69383759	Other high-grade glioma
CCDC15	124992580-124992687	124987126-124988134	124993168-124993243	Other high-grade glioma
ZBTB7B	155014015-155014093	155010915-155011015	155014654-155014719	Other high-grade glioma
SLC25A30	45411733-45411938	45411361-45411480	45418299-45418378	Other high-grade glioma
PCMTD2	64258767-64258882	64255843-64255870	64259941-64260272	Other high-grade glioma
RARS2	87545616-87545699	87530783-87530942	87555407-87555505	Other high-grade glioma
P2RX4	121216955-121217002	121210064-121210298	121217133-121217281	Other high-grade glioma
FYN	111813892-111814107	111780565-111780635	111846588-111846615	Other high-grade glioma
FAM66A	12387741-12387865	12368238-12368302	12387957-12388019	Other high-grade glioma
FAM181A-AS1	93925112-93925276	93923672-93924000	93926914-93926966	Other high-grade glioma
ZNF655	99571688-99571792	99560532-99560695	99572244-99572318	Other high-grade glioma
NAV1	201588539-201588649	201539126-201539342	201622852-201623606	Other high-grade glioma
NFIA-AS2	60969931-60970065	60954484-60954602	60970547-60970745	Other high-grade glioma
PACRGL	20709683-20709773	20704659-20704814	20712787-20712831	Other high-grade glioma
ETFA	76295591-76295737	76292618-76292700	76311349-76311402	Other high-grade glioma
TMEM241	23371422-23371470	23370215-23370261	23373711-23373763	Other high-grade glioma
PHF20	35782328-35782609	35772021-35772079	35801490-35801605	Other high-grade glioma
TAF6	100118396-100118649	100114053-100114268	100119328-100119356	Other high-grade glioma
TBC1D5	17586353-17586557	17518901-17518995	17623848-17623913	Other high-grade glioma
ENSG00000204929	65469514-65469611	65436710-65436882	65476257-65476349	Other high-grade glioma
PDPN	13595827-13595984	13583831-13584100	13607172-13607221	Other high-grade glioma
EFCAB6	43772892-43773103	43765304-43765393	43782179-43782325	Other high-grade glioma
MLIP	54160740-54160799	54160366-54160432	54169527-54169572	Other high-grade glioma
ENSG00000268362	24034523-24034712	24033506-24033621	24046183-24046279	Other high-grade glioma
DAG1	49488626-49488745	49476848-49476905	49510418-49510765	Other high-grade glioma
LITAF	11575406-11575586	11556510-11556735	11586885-11586919	Other high-grade glioma
DNAL1	73672945-73673091	73671541-73671597	73687258-73687385	Other high-grade glioma
ENSG00000271860	97972526-97972670	97969405-97969466	98099185-98099270	Other high-grade glioma
TANK	161197337-161197528	161179652-161179761	161203486-161203595	Other high-grade glioma
SLC38A6	61034019-61034113	61030444-61030523	61037058-61037141	Other high-grade glioma
LINC01278	63425948-63426052	63397506-63399903	63432363-63432491	Other high-grade glioma
LINC00869	149661302-149661419	149660853-149661089	149665081-149665133	Other high-grade glioma
STXBP5-AS1	147108472-147108610	147074804-147074847	147119416-147119477	Other high-grade glioma
PTPRZ1	122012648-122013889	122010333-122011309	122019123-122019268	Other high-grade glioma
MIR9-1HG	156414654-156414753	156404255-156404601	156426797-156426872	Other high-grade glioma
KCTD20	36479121-36479223	36442766-36443111	36481561-36481759	Other high-grade glioma
FOXG1-AS1	28738727-28738844	28729509-28729556	28762331-28762474	Other high-grade glioma
RANBP3	5957918-5957968	5933413-5933479	5978060-5978093	Other high-grade glioma
MFF	227329606-227329659	227328677-227328789	227330625-227330763	Other high-grade glioma
MTDH	97699754-97699852	97690951-97691188	97706625-97706750	Other high-grade glioma
DTNA	34729463-34729546	34679536-34679592	34755975-34756043	Other high-grade glioma
CYB5R3	42625383-42625481	42623788-42623888	42627303-42627389	Other high-grade glioma
ZNF532	58939445-58939621	58918270-58920633	58979054-58979167	Other high-grade glioma
GUSBP1	21470510-21470662	21461782-21461866	21471461-21471601	Other high-grade glioma
RAB18	27514055-27514420	27509874-27509930	27526827-27526889	Other high-grade glioma
ENSG00000287550	164806066-164806198	164805695-164805729	164813831-164814042	Other high-grade glioma
CANX	179704155-179704430	179698976-179699102	179705678-179705852	Other high-grade glioma
ESRRG	216959562-216959685	216939581-216939673	217089506-217089645	Other high-grade glioma
ENSG00000272865	242161729-242161974	242147310-242147554	242185836-242186207	Other high-grade glioma
TANK	161160949-161161104	161160431-161160486	161161284-161161666	Other high-grade glioma
RGS7	241354577-241354680	241098665-241098762	241355698-241355826	Other high-grade glioma
STIL	47312948-47313021	47310275-47310362	47314035-47314147	Other high-grade glioma
SUN1	832020-832101	816622-816673	832504-832601	Other high-grade glioma
STIL	47312948-47313156	47310275-47310362	47314035-47314147	Other high-grade glioma
COX14	50112832-50112903	50112081-50112301	50120035-50120451	Other high-grade glioma
UBA1	47198167-47198355	47190860-47190950	47198802-47198919	Other high-grade glioma
CMKLR1	108329995-108330207	108293588-108293664	108339026-108339311	Other high-grade glioma
DISP1	222823856-222823945	222815058-222815078	222835118-222835215	Other high-grade glioma
MCPH1-AS1	6634595-6635419	6627021-6627310	6708140-6708196	Other high-grade glioma
GPR141	37685179-37685298	37683796-37683903	37685459-37685583	Other high-grade glioma
GLCCI1	8024715-8024814	8022482-8022569	8055432-8055549	Other high-grade glioma
EIF3E	108242112-108242346	108241798-108241913	108248612-108248716	Other high-grade glioma
CRACD	56196344-56196427	56179283-56179430	56272320-56272492	Other high-grade glioma
ALAS2	55023757-55023867	55021051-55021274	55024717-55024840	Other high-grade glioma
ZNF815P	5839070-5839204	5833526-5833568	5839948-5840042	Other high-grade glioma
METTL25B	156734009-156734493	156733376-156733520	156735724-156735909	Other high-grade glioma
EVL	100139334-100139369	100138811-100138897	100141179-100141246	Other high-grade glioma
ENSG00000271860	97309982-97310059	97305552-97306096	97423468-97423662	Other high-grade glioma
VSIG4	66025478-66025618	66025024-66025129	66027448-66027526	Other high-grade glioma
HNRNPA1	54285985-54286112	54284257-54284317	54286661-54286732	Other high-grade glioma
PPIL3	200885262-200885367	200881420-200881488	200885697-200885772	Other high-grade glioma
ANAPC16	72223888-72224056	72215999-72216072	72230365-72230440	Other high-grade glioma
SIPA1L2	232533490-232533583	232513856-232515608	232629868-232630122	Other high-grade glioma
CBX1	48088166-48088307	48076864-48077041	48101267-48101379	Other high-grade glioma
ANKAR	189737683-189737841	189728659-189728821	189741341-189741451	Other high-grade glioma
PROX1-AS1	213915935-213916099	213895393-213895518	213966070-213966214	Other high-grade glioma
KCNK4	64292942-64293207	64291301-64291566	64296877-64297001	Other high-grade glioma
DPY19L2P1	35181415-35181502	35179017-35179155	35185719-35186203	Other high-grade glioma
CDHR3	105878207-105878358	105876817-105877257	105911016-105911241	Other high-grade glioma
NCK1	136889079-136889301	136862297-136862319	136927983-136928227	Other high-grade glioma
ENSG00000283183	577793-578452	577289-577434	578719-578833	Other high-grade glioma
SEC31B	100498705-100498804	100498028-100498207	100499159-100499258	Other high-grade glioma
UBE3A	25415710-25415842	25411907-25411971	25438488-25438986	Other high-grade glioma
ENSG00000225096	57965517-57965743	57962177-57962248	57971594-57971656	Other high-grade glioma
OGFOD2	122976253-122976401	122975810-122975867	122976653-122976767	Other high-grade glioma
ENSG00000228793	3634019-3634059	3593632-3594535	3719362-3719609	Other high-grade glioma
DAG1	49470965-49471049	49470131-49470433	49476848-49476905	Other high-grade glioma
SLC6A1	11014040-11014184	10992747-10992929	11015671-11015733	Other high-grade glioma
MEGF11	65909034-65909121	65906084-65906141	65912081-65912200	Other high-grade glioma
SCN2A	165320240-165320364	165315470-165315758	165323155-165323500	Other high-grade glioma
NDUFAF2	61045840-61045978	60945182-60945382	61073124-61073214	Other high-grade glioma
ENSG00000268362	24047708-24047850	24046183-24046279	24048936-24049014	Other high-grade glioma
PLS3	115614153-115614534	115610242-115610323	115622245-115622409	Other high-grade glioma
C2orf15	99147027-99147122	99142284-99142401	99147401-99147493	Other high-grade glioma
ATP6V0E2	149879166-149879225	149878677-149878790	149879334-149880696	Other high-grade glioma
GOLGA3	132824919-132825106	132821995-132822311	132828802-132828869	Other high-grade glioma
NOVA1-DT	26735239-26735372	26731063-26731156	26779794-26779879	Other high-grade glioma
SLC9B1	102989800-102989941	102932123-102932299	102991642-102991712	Other high-grade glioma
ABCB1	87602960-87603140	87600812-87601078	87713160-87713295	Other high-grade glioma
CLASP2	33566732-33566734	33560807-33560971	33570726-33570790	Other high-grade glioma
KCNH8	19346652-19346734	19342586-19342714	19347724-19347965	Other high-grade glioma
ZNF615	52004417-52004849	52003848-52003900	52008140-52008201	Other high-grade glioma
LINC01357	112876940-112876984	112850027-112850427	112877729-112877871	Other high-grade glioma
CHFR	132862333-132862425	132861466-132861634	132870723-132870783	Other high-grade glioma
CNIH3-AS2	224615204-224615427	224608129-224611592	224615611-224615736	Other high-grade glioma
HIVEP3	41524735-41524910	41518401-41518488	41575543-41575689	Other high-grade glioma
ZFHX4-AS1	76672827-76673033	76616321-76616451	76683051-76683308	Other high-grade glioma
SIPA1L2	232574174-232574222	232513856-232515608	232629868-232630133	Other high-grade glioma
